author,posted_on,comment,text
"Annette of Philadelphia, PA",7/10/2008,,"comcast cable has a community service box, which is over my back deck and across my property line.   I would like to know if comcast cable has iminent domain?The box is an obstruction,when service is needed in ,a ladder is used  and my deck area is tresspassed.Can the cable company just invade my property? that I pay taxes on. I think that I am owed"
"Kim of Alexandria, VA",7/10/2008,,"   After analyzing our communication bills, we made the decision to bundle our services (cable, internet and telephone landline) with Comcast.  I called Verizon and told them it was not a matter of service, but economics.  I arranged for Comcast to port our phone number to them and set up a bundled package.  An appointment was set up for July 7, 2008 between 3-6 pm.  At 6:30, I called Comcast and asked where the technician was.  I was told the dispatcher would call me.  They never did.  The technician showed up at 7:30 pm.  He started laying new cable and then asked me where the telephone switch was. We live in a high rise condo and I explained he needed to get the key from the desk and they would let him in.  He was uncomfortable with that information and insisted my husband go with him.  Up and down the elevator he would go, on his cell phone, talking to someone and telling them he didn't know how to do the work.  He finally left just before 11 and promised to come back on Wednesday, July 9, 2008 between 3-6 pm, bringing someone else with him to show him how do the work.  No one showed up.  We picked up the telephone to call to see where he was, and our line was dead.  When we called our phone number from our cell phone, the announcement said the number had been disconnected. After an hour on wait, Comcast said that because the work was not completed during a certain time the telephone number ""went back to Verizon.""  The Verizon repair service said that the number had been transferred to Comcast and they did not have it.  This morning I called Verizon to get service and they said they did not control the number, it was still at Comcast.  I had to go through the entire credit and approval process to arrange to get the service back to Verizon.  I will have to wait a week before Verizon can send someone to my home to repair all the damage the Comcast technician did on the 7th of July.  In the mean time, I need to get that recording off my number for security purposes. Comcast kept me on hold for 2 and a half hours this morning until I had to go to a meeting.  I transferred the call to my husband.  He was on hold for an hour before someone came on and said a supervisor would call us back.  No one called. I came out of my meeting and took up the next watch.  Someone from technical support came on and told me that the switch room cant get a dial tone on the line as the work from 7 July has to be fixed.  I was then transferred to Sales, where I was put on hold.  Mark, operator number 4330, said I needed to go to technical support again.   Luckily, technical support was still on the line and interrupted him, stepping him through the process of looking through the case notes.  It appeared that someone deleted the work order on July 8, 2008, and another work order has to be put in.  In the mean time, everyone who calls our home number thinks we skipped town.  I am now waiting to see if Mark will fulfill his promise to call me back and if someone can come to my home tonight, get me dial tone so the recording comes off and for Verizon to port over my number on the 17th of July.  Oh yes, did you know a number cannot be ported over unless it is active with a dial tone? We now have a complaint in to our local government and will be filing one with the FCC.  Should you ever be tempted to give your telephone service to Comcast, don't do it.  They are selling services they know they cannot provide. My husband has lost two days of leave. I have no phone service at my house, with a recording on the number that makes it sound as though I have skipped town. Due to the nature of my work, I am in violation of my organizational policy. We have no idea if this will ever be resolved. I have to fix the damage to my home. I have to pay Verizon to take me back as a customer. Luckily, technical support was still on the line and interrupted him, stepping him through the process of looking through the case notes.  It appeared that someone deleted the work order on July 8, 2008, and another work order has to be put in.  In the mean time, everyone who calls our home number thinks we skipped town.  I am now waiting to see if Mark will fulfill his promise to call me back and if someone can come to my home tonight, get me dial tone so the recording comes off and for Verizon to port over my number on the 17th of July.  Oh yes, did you know a number cannot be ported over unless it is active with a dial tone? We now have a complaint in to our local government and will be filing one with the FCC.  Should you ever be tempted to give your telephone service to Comcast, don't do it.  They are selling services they know they cannot provide. My husband has lost two days of leave. I have no phone service at my house, with a recording on the number that makes it sound as though I have skipped town. Due to the nature of my work, I am in violation of my organizational policy. We have no idea if this will ever be resolved. I have to fix the damage to my home. I have to pay Verizon to take me back as a customer."
"Dennis of Woodbridge,, VA",7/10/2008,,"I am writing to regards to my credit report.  At one time, approximately 6 six years ago, I lived in Lake Ridge, Virginia.  I was receiving Comcast services during the time that I was living there.  However, once I moved out Comcast continued to bill me for four consecutive months afterwards. The bill accrued over $150. I disputed it because I no longer lived at the residence, and they said that they would decreased the bill to $70.00 and if I brought in the lease agreement stating my last day living at the address then they would clear the account completely.  The next day I brought them the lease agreement.  I spoke to a supervisor at Comcast and the indicated that they would fix the billing.  However, recently I checked on my credit history, and it indicated that the billing from Comcast had gone to a collection agency.  I feel that the supervisor that I spoke with (I dont recall the name) dropped the ball and did not take care of the clearing and crediting my account, and that my credit report should not have this incident on it.  Can you advise me on how to resolve this matter?  I have gone to Rolling Brooke Rental Office to retrieve a copy of my rental agreement but to no avail.  They do not have records that far back.  And I have gone to Comcast and they couldnt find any record of my account.  So where do I go from here.  I want my credit report cleared.  I was under the impression that it was clear up until one month ago.   My beacon score is affected.  I do not want this on my credit report.  I want it removed."
"Claire of Hallandale Beach, FL",7/10/2008,,I recently moved and thought that Comcast had great specials and would proove to be a good cable company.  Boy was I wrong.  My service never worked!  I had a DVR that was replaced 4 times over a 4 month period and never worked.  I had to spend numerous hours on the phone with customer service to get no resolution or help.  When I had finally had enough I asked to speak to a supervisor I went strait to voicemail and left many many messages and to this day have never received a call in return.  I had them come and get their faulty equipment and refuse to do any buisness with them ever agian.  I work in Customer Service and I have never seen a company so Poorly managed.  I warn anyone looking into Comcast to stay far away.  They will take your money and give you nothing in return!  They use faulty equipment and have no concern for their customers. I will never make the mistake of using them ever agin.
"Ann of Albuquerque, NM",7/12/2008,,"I have cable, internet, and phone service with Comcast.  In the last year, I have had technicians out to my house 25 TIMES. I am not exaggerating. I have had conflicting reports about the problem.  One would fix one thing and create a new problem.  The next one would fix that problem and create a new one.  I was constantly told different things.  I bought equipment on their recommendation and took it back on their recommendation.  They would switch out cards on my high definition Tivo at least 12 visits.  I finally took it back and they tried to make their DVR work.  It has been a nightmare.  I have it all documented with all the slips.I am self employed so the financial cost based on my time and hassle totals well over $2500.00.  The emotional and hassle problems have been tremendous."
"Laura of Canton, MI",7/14/2008,,"I have had and am having so many problems with Comcast, 1. They lie about prices they will charge you 2. the phone service is very poor 3. the technicians often don't show up for service appointments 4. they add additional charges to bills without telling you - once they double-charged me for each service and it took about a month and countless phone calls for them to sort it out 5. they have terribly long wait times for customer service, and I have been on hold for over 1/2 hour, then hung up on 6. they say they will transfer you to a manager, but after 1/2 hour on hold you find yourself talking to just anothe regular customer service representative 7. their representatives are often completely ignorant and rude 8. if you write their corporate offices, and, unlike honorable, self-respecting companies, they won't help you, leading me to believe that the above problems are company policy.Frequent loss of phone service; an immense amount of time and nerves spent on hold and talking to Comcast reps who often can't help you."
"Nancy of San Rafael, CA",7/14/2008,,"I have Comcast internet service and have been fairly happy with it until recently.  Approximately 50% of the time that I attempt to access my email through their website, I receive an error message saying my login failed.  I have had at least a dozen phone calls with Comcast techs and nothing they suggest cures the problem.  In fact, since I started complaining about it, the problems have actually increased to the point where there are entire days that I am unable to access my email due to this issue.  Although I have repeatedly complained to Comcast they have repeatedly failed to address this issue at all!  They tell me it is a problem with ME -- oh, please!  How difficult is it to access your email?  Also this occurs while I am actually reading my email at times -- it will suddently crash and I can not access it again until many hours and too may attempts later.  Comcast Customer Service is a joke.  They do not care at all if you have difficulties and they make absolutely no attempt to fix anything that isn't easily fixable. I have lost many hours of productive work time in attemtpting to remedy this problem."
"Lew of Glenwood, MD",7/14/2008,,"Comcast eliminated local access to Wash DC channels, citing them as duplicative of Baltimore channels. i live as close to DC as to Baltimore, and work in Fairfax VA. I watch (used to watch) DC traffic reports every morning before leaving for work. now i can't do that. and i don't have access to another cable company. i would dump Comcast if i had the option for another company. i resent their elimination of the DC channels.i can no longer become aware of accidents on the route i take to work, some of which close the roads."
"T of Hercules, CA",7/15/2008,,After two months of very bad service they turned off my phone after placing order to return to At&t.  Comcast turned off phone two days before scheduled disconnect date and would not turn on unless i canceled my At&t service.  Although I had an elderly person in home I was not able to dial 911 i informed them of this and they said to badd that's my problem. PLEASE DO NOT USE THEM!  YOU WILL REGRET IT!
"Patti of Bordentown, NJ",7/16/2008,,"After much research on the internet, for comcast deals, I pick the package I wanted along with the promotional advantages. $75.00 cash back for digital cable $100.00 cash back for High speed internet. $50.00 cash back for digital voice. The bundle would be $99.00 a month.  I called the number to sign up for this bundle. I was told that I needed to clear up a past due amount of 187.00 that was owned on the account since 2002. I was not even aware of the fact that I owed a balance. I had returned comcast equipment in 2002, to go to Direct TV, and was never told I had a balance? Never the less I paid the balance thinking that it was the year my father died and maybe I made an error. I never received any notices.  I was assured that I could sign up for the bundle as soon as I paid the balance. I payed it. Next, I called back the next day and got another rep that put thru my order, but at the last moment the screen said that I had made a duplicate order online and he could not process my order. I had to call customer service again. I figured that was an easy fix since I tried yesterday, they just had to correct something for me to purchase online again. I called and spoke to another rep that told me that I could not have the bundle,because of my Past account. She said the phone representative would never of been able to put that thru, that I was not considered a NEW customer even though it states that I would be after so many months, (it was 6 years since I was a comcast customer). She stated I would have to start out by paying the full amount for the package I wanted, for at least 3 months, and then they would consider putting me into a package. This new package would cost over 175.00 a month in comparison to the bundle which was $99.00 a month. She said that was because my services were terminated for non payment. Non of that was true. She said the only way I could become a new customer is if I moved to another state. phew! I felt like a criminal. I asked if there was anyway I could talk to someone in the office of comcast that was nearest my home, She stated that they have ""walk ins"" and I could go if I wanted to. I decided to try to talk to someone directly, so I went to my Comcast office (Willingboro, NJ) and after waiting in line for 30 minutes was told that no one was able to see me. I went home and on the way, I called and spoke to another representitive of comcast. I just could not beleive this, it did not make sense to me. He told me that the information I obtained was false and untrue. My past account did not show any bad history of payment. I could qualify for the bundle.  He directed my call to a very polite lady named Monica that took my order. My complaint is: If I would of been allowed to go on line and get the same bundle that was offered to me on the phone,  I would of been eligible for rebates that added up to $225.00 cash back. I feel this is a scam and should be looked into. When the representative that tried to process my order online, told me that it said"" that an duplicate order was found"", and he could not process my order"", I showed my concern and he told me not to worry, call this number, that it happens all the time"".  I feel that something should be done about this scam. It it unfair. Part of wanting Comcast was because of the rebates that were offered. I finally got so frustrated I signed up for the bundle on the phone since I knew there was nothing I could do to get the offer that should of be allowed to me online. If you google the different sites there are so many rebates to choose from, and yet I wonder if anyone of them are true? Also, I was told after this happened to me that a close aquantance worked in customer service for Comcast and so many deceptions are told to people all the time. He said it is very unfair and misleading. Stress and losing my online rebate because of deception."
"Barbara of Dundalk, MD",7/16/2008,,I was unable to purchase a movie on pay per view because they said they had not received my payment.  My payment was sent in ten days ago.  I have been a customer for over 15 years so it should not matter if they are getting my payment late.  They could check my credit and see that they are safe with me.  I feel an exception should have been made and they should do whatever necessary to make it work for me.  And they were rude on the phone.no economic consequences other than the fact that I will probably cancel my service and stop giving them my money!
"Veronica of Salem, NH",7/17/2008,,"I subscribe to Comcast Expanded Basic Cable -- analog, not digital This means I get, for example, CNN and ESPN, but not premium channels like HBO. The rules for service are covered in an agreement between the Town of Salem, NH and Comcast. Some months ago, Comcast dropped Channel 48, ESPN Classic. When I inquired, I was told it had moved to a channel number in the 200 range used by digital, which I cannot receive. I asked if there would be a reduction in monthly charges. I was told no. Then some weeks back Comcast did the same thing with a CSPAN channel. And today, I watched a banner on Channel 40, MSNBC telling me it too was moving to the digital side. It is blatantly unfair for Comcast to do this, and in the extreme, I could end up paying  $40 or so for a single channel. A very un-American way of doing business.I can't imagine any other business that contracts to provide a service for an agreed amount, and during the currency of that contract reduces the service and expects to receive the same payment. To call it by another name, try robbery. I have reported this to the Town of Salem, NH after reading their agreement with Comcast. To my unlegal mind, there are clauses in the contract which require Comcast to provide the service they agreed to. In addition, the agreement refers to the quality of service. Since the switch to digital began, my picture will very often go blocky. Clearly the analog and digital signals are interfering with each other. So not only does Comcast engage in robbery, they have not kept up their agreement in terms of delivery quality."
"Evelynne of Norton, MA",7/18/2008,,"Sales people and TV people have stated that if you subscribe to cable you will not need the box. Well thats not altogether true.  If you have basic cable without a cable box, you are forced to buy a more expensive service that includes a cable box.  I dont wont or need the extra benefits of this more expensive services all I want is basic cable.  Cable is expensive enough without being forced to purchase the more expensive service having to monthly rent the box from the cable company.  No one can tell me if I purchase the box from Best Buy will that make my TV work with the very basic cable service.  And now that I face having to buy something I cant use or have replaced my expired coupon.I must now upgrade my service and pay an additional monthly charge for the rest of my life for something I don't want."
"Lori of South Burlington, VT",7/19/2008,,"Comcast removed 10 more channels from our line up this past week. They (Comcast) have been advertising on TV that if you have Comcast you don't have to worry, and that they will take care of everything regarding the switch to digital. Comcast also sent out postcards tellng people we could recieve a converter box FREE for one whole year to gain access to the channels they just moved to digital.   When I called Comcast and inquired about the coverter box, I was told I would have to pay $111.00 to qualify for the converter box. My Comcast bill typically runs 30 days behind,as the company bills in advance for services. I had just paid my bill on the 16th of July, and now on the 18th they want yet more money.   The FREE Converter box offer expires on August 15, 2008. After that date, it will cost Comcast customers $3.95 a month plus taxes to recieve the channels Comcast just moved and took off our line up.   I imagine there are many people like myself who do not have their Comcast bill current.   Comcast want me to continue to pay for a service I no longer have, and then charge me extra to recieve something that they just took away. I agreed to pay for the channel line up that I started out with at Comcast. Now, I have lost 10 additional channels, yet my bill have not gone down. I also will not be able to get the converter box as I do not have an additional $111.00 to pay before the 15th of August.   I think Comcast should have to do what they have been telling customers they will do. "
"Frank of Atlanta, GA",7/19/2008,,"I signed up for the $99 promo back in Feb 2007.  Again, never saw a $99 bill.  It was always $149.  Now, the $173 has thrown me over the edge.  One last thing, FOUR MONTHS Comcast debited my checking account TWICE for the same payment.  We can't issue a refund, you'll see the credit on your bill.  Is Bernie Ebbers running this company from prison?"
"Margie of Smyrna, TN",7/20/2008,,"My Comcast internet doesn't seem to be working.  I cannot send out.  Please help?  Do I need to do something?  It has been this way ever since I turned it on and I feel like I am losing my 19.99 time, which is only for 4 months.  thank you."
"David of Cambridge, MD",7/21/2008,,"Comcast cable tv in my area keeps going out, the sound goes from not being able to hear to blasting. The commericals turn greenish and comcast raised my monthly bill yet they took about 9 channels from me. Also sometimes when the cable goes out weak signal comes on the screen. Phone calls and e mails get me no-where."
"Carol of Pittsburgh, PA",7/23/2008,,"For the past several weeks, one PBS program, The New Hour, suffers many technical interruptions. I've contacted the local PBS station, and they say the problem is with Comcast, Comcast is aware of it, and has not told them that it would fix it.  I've tried to complain to Comcast, and have not been able to figure  out how to do so! This is unconsciounable--that Comcast would make it impossible to complain to them, and that they would ignore a problem that disrupts a popular program.  The damages are to the local PBS station, and to PBS nationally -- when long-time viewers of The News Hour, like me, are so irritated by the frequent technical twitching (at least every 5 minutes or so) that we switch to network news."
"Roberto of Miami, FL",7/24/2008,,"Ive been trying for the past hour to get through to internet security (the ones who can pull the plug on you if they think you are abusing your bandwidth) Anyway, I got through to this TOM guy, I had a few questions for him.  I did not want to give him my phone number, se HE HUNG UP ON ME! I refuse to go through the endless rounds of pressing numbers again to get through, so I called corporate headquarters. (It took my local office 5 minutes to locate and give me this number) Call them and complain (I did so anonymously, of course)  the receptionist seemed nice (her attitude may change if she starts getting a deluge of complaints) Call your local CORPORATE OFFICE to complain.   My wasted time on hold"
"Linda of Lowell, MA",7/24/2008,,"I am greatly distressed over what Comcast is capable of doing without consumer protection. My bill increased and instead of getting more, I am getting less. WHAT HAPPENED TO FREE TV. We had no choice to resort to cable because we needed the reception! When cable was first established it was COMMERCIAL FREE. It seems like I'm paying to watch COMMERCIALS, this has been my biggest complaint. As consumers, we still don't have a choice. I don't want any more channels, I don't want a digital box that I have to pay more for. I am disabled and on a fixed income, therefore I can't afford it. What about other low income families. I quess it's just too bad, because eventually we won't have a any channels. I will just watch DVD's. It's what I do anyway, because there's absoultely nothing on cable. So why am I paying for cable? We all have to get together and do something about this. I thought consumers had rights and choices. Everybody should just stop purchasing cable from Comcast until they can come up with an honest,affordable package for consumers. "
"Sharon of Portsmouth, NH",7/24/2008,,"I, like others, have TV sets that go up to only 99 channels. I am a Comcast subscriber and pay monthly for bundled services, including cable TV. I have wathed the analog-to-digital commercials and been certain that the issues did not affect me, since I do not use rabbit ears. What I have learned is this: Comcast is moving channels, such as MSNBC (40), in my area to higher channels (in this case, 251). For 99-channel TV sets that have a direct cable connection--no converter box--these new channels will not be received. Thus, consumers like me will be paying for services under contract that will no longer be provided by Comcast...unless we pay MORE. We have to rent a converter box to get these same channels we've been paying for all along. My question is, if the rabbit-ears customers are being inconvenienced by this digial switchover, and they are being provided some remedy (free converter boxes), why aren't we Comcast customers, who are losing services due to this switchover, being afforded the same courtesy?? I believe Comcast should provide free converter boxes in this case--or discounts to make up for the lost channels. I am being blackmailed into paying for something I already pay for. Comcast is violating their contract by denying me services without remedying the situation. They should give me a discount or provide free converter boxes. I have not willingly changed the terms of my service; rather, they have, without my agreement."
"B. of Houston, TX",7/25/2008,,"Been without cable service for a week due to a problem with the cable line.  Every day I have been promised that someone would come to fix it. To date the closest we've been to a technician is that one day saw a Comcast truck at my neighbors. He had gone to the wrong house!  Then, next day a technician showed up in the rain to say that he couldn't work on it because of the weather.Missed 3 days of work believing the promises that a technician will be here tomorrow as a priority from the telephone clerks."
"Mike of Troutville, VA",7/25/2008,,boy I have a good one for you please save your time and your money run for your life from comcast after a week still no tv they say there going to be at my home at 2pm laffin they call my cell phone at 12.00 and say IM here where are you good lord so i tell the man I can be home in just a few Im home in 7 minites and he is not here he calls and says he will see me later what a joke
"Cathy of Woodstock, GA",7/26/2008,,"   We have been Comcast customers since we moved into our new home last summer. Unbelievably, we have had ongoing problems with our phone, Internet, and cable services for an entire year! I am planning on canceling all of our series with Comcast in the very near future. At this moment (11:27 a.m.) I am waiting to speak to yet another supervisor who has no idea why my appointment today from 8:00 to 12:00 is not in the computer. The lady I have been speaking with is trying to convince me that I scheduled an appointment when I will be out of the country next week. I have scheduled service calls at least three times, written them down on my calendar, and waited at home for nothing. Each time I call to see what happened, I am told either there is no appointment scheduled or I have the wrong day. We have had our house rewired several times, our yard has been dug up, and my husband and I have taken off work to wait for technicians who never show up. When technicians do show up, there is no guarantee that they know what to do to fix our problems.  We have had so many problems that we have been refunded money and given a free sports package, but it still cannot make up for countless hours on the phone, countless hours waiting for technicians, and countless hours without reliable service. I have never experienced anything like Comcast's ineptness and disregard for quality service! Every time our phone goes out, our security system goes off-line and our Tivo system cannot provide program information. We have had so many problems that we have been refunded money and given a free sports package, but it still cannot make up for countless hours on the phone, countless hours waiting for technicians, and countless hours without reliable service. I have never experienced anything like Comcast's ineptness and disregard for quality service! Every time our phone goes out, our security system goes off-line and our Tivo system cannot provide program information."
"Abbie of Rineyville, KY",7/27/2008,,"July 19th the high speed internet service went down in my area for more than 48 hours.  Since then it has been up and down, but more down than anything else.  I have internet phone, so if I leave to go somewhere and the phones go out and my children have an emergency..how will they let anyone know? They can't.  This keeps my husband from doing the online parts of his college classes, and is effecting his grade and the best they could give me was a $6.00 refund for no service.  I to had been told a technician would come to my house and no one ever showed up.  Oh yeah and the customer service advised me to get in my car and find a wi-fi hotspot if I wanted internet...which is funny because thats what I thought I WAS PAYING THEM FOR?  We have no other choice for internet service in the area either,  I wish the cable industry had NEVER been deregulated, because they have us bent over a barrel and since they are the only providers they have no reason to provide good customer service.Time lost in school and being able to reply to emails from my customers"
"Mandy of Sunnyvale, CA",7/27/2008,,"I have a frustrating experience from beginning to end:  **** Installation: Ju;y 2005 **** Because we have internet connection problems, we have them come in to fix it.  Then, in an accusational tone, because they did not deactivate the services we accidentally obtain from the previous tenant's cable package, the cable guy talked to me like I am a suspect in an interrogation in the police office.  Like we should have reported to them that they made a mistake and gave us more programs that we paid for.  After dealing with very arrogant Comcast employees and continously disappointing unavailable internet connections, we decided to swith to SBC Yahoo (now AT&T).  *** Disconnection: July 2008 ****  Imagine being called after 9pm on your cell phone from the cable guy asking you to QA whether the cable got disconnected!  Then, he HUNG UP on me after I was so nice to actually move my butt and meander through heaps of boxses (amidst packing + moving) to turn on the TV and gave him the answer."
"Lois of Redmond, WA",7/27/2008,,"I'm complaining about the complainers.  I have called Comcast three times with problems.  They have been prompt, professional and polite.  "
"Felecia of Albuquerque, NM",7/27/2008,,"I am trying to watch my budget and called to cancel my TV service with Cocast Cable. I advised the representative that I would be keeping my high speed internet. His first response is that I would be paying more for my internet because I would no longer have a bundle. I let him know that I was aware of that and still wanted to cancel. Then he told me that my speed on the internet would be slowed as I no longer had a bundle. He kept insisting that I just go down to a smaller TV package. I do not like being threatened. I became very determined to cancel TV (I spoke with the rep earlier this week and returned my DVR today) and now am researching options for high speed cable. In a few months, I may even go to Direct TV. I live in an apartment and because my management does not allow dishes to be mounted on the building, I had not gone with them to begin with. But I would rather not have TV, if I am not able to get dish, than do business any longer than I have to with Comcast. When I took my box back today, the rep told me that I was going to get my speed lowered online, but could pay $10 more every month and keep the speed (funny enough, that option was NEVER mentioned by the rep I talked to on the phone. I currently work for a call center in town and have actually worked for several other call centers (never Comcast) and have had to speak with customers who are unhappy and/or wnat to cancel. The key is to NEVER be rude to the customer because word of mouth advertising is very volatile. Besides that, if their situation ever changes, don't you wan them to think about coming back to your service? Thanks to that rep I spoke to on the phone, once I find a comparable internet speed, I will never do business with Comcast again. I will also do my best to make sure this story gets heard many, many times by as many people as I can tell it to. I will never do business with a complany that feels the only way to keep my business is to threaten me."
"Ted of Cumming, GA",7/27/2008,,Replaced box and never worked.  They tell you managers will call you and they never do.  Tell you they will get someone out and no one shows.  Then find out never even entered work order.  Without cable and no indication will ever get it fixed.
"Carol of Houston, TX",7/28/2008,,"We have the package that includes the cable, internet and phone.  We have been having problems for months and have called comcast several times.  About 3-4 months ago, the picture on cable started fading in and out. We Comcast and the technician told us the wiring had nicks in it and needed to be redone, but he couldn't do it. We needed to call and schedule for another technician to come do that. The second time we waited and no one showed up, and the no one could get in touch with the technician scheduled to come. So a third appointment was made. This time two technicians showed up an hour late, but they at least fix the problem...temporarily. The picture still fades in and out, and I just realized that when the cable acts up so does the phone. I can be on the phone talking and suddenly the person on the other end cannot hear me for about 30 seconds, then it clears up. I called last Friday to complain and fortunately, the phone would loose connection while I was talking to Comcast. He ran connection test and found that my connection was week. No other customer service person had told us that. Now the problem is getting someone to show when they say they will. I was given the time frame between 2-5 pm today. Took off work early, came home to wait, and wait, and wait. My husband called comcast at 5:00 pm exactly and found that there was not appointment for us today. Then he was told that the technician called and could not reach up. We found that the wrong number was listed for us. Each time we call Comcast with a problem, we have to update our phone numbers. For some reason, the numbers keep changing and we're told that they couldn't reach us. We've rescheduled AGAIN for a technician to come out and I'm not optimistic that they will. If I keep having problems with Comcast and their service doesn't improve, I will be changing.My time is very important. Each time we make an appointment, that means that I have to rearrange my schedule only for Comcast not to show. Today, it was four hours without pay to wait and them not show up. Comcast has a very poor service record with me and I'm getting tire of it."
"Sarah of New Haven, CT",7/28/2008,,"When Comcast come to install cable in 2007, items were stolen from my home during the time they were there. The technicians were two women, one of whom asked to use my bathroom about 3 times in the 40 minute visit. When I called the company, after seeing that jewelry items from my bathroom were stolen. I was deterred from filing a claim using intimidation tactics. When I moved apartments, I made an appointment to get my cable installed and requested that the same technician from before not come. They failed to note that request on my account as I had asked. It took me multiple calls to determine if the person who was coming, had, in fact, come to my apartment before. I finally decided to file a claim for the prior stolen items. However, I have received no customer service assistance in obtaining the status of my claim since, despite the claim being labeled as a priority #10, and the old technician being fired for theft (as I found out)! All calls into the claim officer who initially called telling me that he was handling the case go straight to voicemail. Attempting to get a supervisor on the phone is a joke - I have left messages 4 times and they are never returned. I have no other cable options in the area, so I'm stucking paying money to a company that doesn't even respect my own security or their own customer service standards  "
"Sarah of St. Paul, MN",7/28/2008,,"I moved about a mile in St. Paul to a new location and set up a transfer of my cable with Comcast. I was given a date and time for the transfer so I could have continued uninterrupted service.  On the day of our move, I went over to the new place and sat there for THREE HOURS waiting for a comcast installer to show up as promised. Finally I called when the latest time passed and asked what's up. I was told that the install had been canceled! It was canceled due to a bill for Time Warner in Minneapolis from 2002! I had moved with comcast several times and never had this happen, nor had they ever refused my service. I always paid my bills (on time too!) to comcast and suddenly they were blocking my cable and canceled my installation without even calling me because of a 2002 cable bill with Time Warner Cable that I hadn't even been privy to a bill on?   I wasted three hours waiting, and was left with NO channels.  I told them to go ahead and zero out my account entirely, that I'd be getting a dish.  What a way to treat a customer. I have given them a ton of my money for years, and never complained about their exorbitantly high costs. Never again.   Welcome to DSL and satellite and goodbye comcast and all your drama. We currently have no channels on our television at all and are wasting time researching different options for satellite which we could have done prior to moving had they called.  I wasted three hours on the day of moving waiting for them of my time due to their disrespect- again, a simple phone call that they don't want my business would have sufficed. I'm glad to give my business elsewhere. I sell on half.com and was unable to access the internet due to not having a connection to see if there were any issues with current sales or any new sales."
"Linda of Colorado Springs, CO",7/28/2008,,"I'm a Senior Citizen and had mistakenly overpaid Comcast bill by $160.00. via telephone on July 25.  I had already paid my bill on July 23,2008 for $213.00.  When I called and asked for a refund of the overpayment they said it would take 2-3 billing cycles in order for me to receive a check.  I told them it was unacceptable for the length of time as they accepted my money immediately!  Sorry but they suggested putting it towrd future billing, which I did not agree to.  They are using my money for services not received.  I am filing a complaint with the Attorney General and BBB in my state of Colorado but don't expect any help.  Maybe the media, whom they subsidise can help? Bet Not.  I'm considering switching to Direct Tv.No refund forthcoming and I can't pay my bills for the month because of this oversight."
"Aj of Windsor, CT",7/28/2008,,"ALERT!  You are NOT protected with your alarm system's monitoring if you have Comcast Digital Voice and the DV goes down.  Comcast DOES NOT tell you this when selling the DV.  In addition, your safety is compromised if someone (thief or worse) cuts your cable line.  Your alarm will ring but your monitoring system WILL NOT BE NOTIFIED that there is a problem.  Comcast will tell you if the power or cable TV goes out, your phone switches to a battery modem for phone service, thus your alarm monitoring is not interrupted.  But they don't tell you if someone cuts the cable line to your home you are NOW at the mercy of the buglar or WORSE.  This information should be given PRIOR to installing digital voice for the customer to make a decision.  This is a lawsuit waiting to happen"
